id,name,link,ingredients,allergensraw,allergensmapped
83,Organic Protein Protein Powder,https://world.openfoodfacts.org/product/0851770007566,"ORGAIN ORGANIC PROTEIN BLEND (PEA PROTEIN, BROWN RICE PROTEIN, CHIA SEED), ORGAIN ORGANIC CREAMER BASE ACACA HIGH OLEIC SUNFLOWER OIL, RICE DEXTRIN, SUNFLOWER LECITHIN, ROSEMARY EXTRACT), ERYTHRITOL, NATURAL FLAVORS, ACACIA ORCAIN ORGANIC 50 SUPERFOODS BLEND MILLET, AMARANTH, BUCKWHEAT, QUINOA CHIA, KALE POWDER, APPLE PULP, CINNAMON, ORGANIC SPROUTS BLEND (AMARANTH SPROUT, QUINOA SPROUT, MILLET SPROUT, BUCKWHEAT SPROUT, GARBANZO BEAN SPROUT, LENTIL SPROUT, ADZUKI SPROUT FLAX SPROUT, SUNFLOWER SPROUT, PUMPKIN SPROUT, CHIA SPROUT, SESAME SPROUT), ORGANIC SUPER VEGGIES, SUPER BERRIES SUPER GRASSES AND SUPER FOODS BLEND (ACAI&quot,, CRANBERRY, WHEAT GRASS, BARLEY GRASS, OAT GRASS, BANANA, MANGO, BEET, CARROT, SPINACH, BROCCOL TOMATO, KALE, CABBAGE, PARSLEY LEAF, BRUSSELS SPROUT, GREEN BELL PEPPER, CUCUMBER, CELERY, GARLIC, GINGER ROOT, GREEN ONION CAULIFLOWER, ASPARAGUS, PINEAPPLE, TURMERIC, STRAWBERRY&quot,, TART CHERRY, BLACKBERRY, BLUEBERRY, RASPBERRY REBA STEVIA EXTRACT, SEA SALT, GUAR GUM, XANTHAN GUM, NATURAL FLAVOR, ORGANIC FOOD BASED VITAMIN C (AMLA FRUIT EXTRACT ORGANIC FOOD BASED VITAMIN BLEND (GUAVA, HOLY BASIL, LEMON EXTRACT), PROBIOTIC (BACILLUS COAGULANS)","Banana, Celery, Sesame Seeds","sesame, wheat"
84,Granola Almond & Super Berry,https://world.openfoodfacts.org/product/9326666610485,"Whole Grains (56%) [Oats, Wheat, Triticale (Wheat, Rye), Barley], Golden Syrup (Sugar, Water), Nuts [Almond (7%), Peanut (2.5%)], Sunflower Oil, Rice Crisps (4%), Dried Berries [Sweetened Cranberry (3%), Blueberry (0.5%)], Psyllium Husk, Natural Flavours, Tapioca Starch, Salt, Antioxidant (Vitamin E). CONTAINS: WHEAT, GLUTEN, ALMOND, PEANUT. MAY CONTAIN: CASHEW, BRAZIL NUT, HAZELNUT, MACADAMIÁ, PECAN, PINE NUT, PISTACHIO, WALNUT, LUPIN, MILK, SESAME, SOY.","Gluten, Lupin, Milk, Nuts, Peanuts, Sesame Seeds","milk, peanut, sesame, soy, tree nut, wheat"
85,"Elegant collection a decadent 16 piece private reserve chocolate assortment, assortment",https://world.openfoodfacts.org/product/0077260062512,"Sugar, milk ingredients, corn syrup, cocoa butter, cocoa mass, brown sugar, palm kernel oil, water, almonds, hazelnuts, hydrogenated coconut oil, salt, soy lecithin, raspberries, coconut oil, honey, dried egg-white, coffee, flavour, artificial flavour, citric acid, lemon oil, tapioca flour, invertase, colour, baking soda, potassium sorbate, sodium benzoate.","Eggs, Milk, Nuts, Soybeans","egg, milk, soy, tree nut, wheat"
86,Chocolate Orange Milk,https://world.openfoodfacts.org/product/3664346304863,"Sugar, cocoa mass, cocoa butter, skimmed milk powder, whey powder (from milk), vegetable fats (palm, shea), milk fat, emulsifiers (soya lecithins, E476), orange oil, flavouring. May contain nuts, wheat. MILK SOLIDS 14 % MINIMUM. COCOA SOLIDS 25% MINIMUM. CONTAINS VEGETABLE FATS IN ADDITION TO COCOA BUTTER. B Rec INSERT","Milk, Soybeans","milk, soy, tree nut, wheat"
87,Bran Flakes,https://world.openfoodfacts.org/product/20621483,"80% Shredded Wholegrain Wheat, 16% Wheat Bran, Sugar, Barley Malt Extract, Salt, Honey.",Gluten,wheat
88,Steamed prawn dim sum,https://world.openfoodfacts.org/product/00709842,"Spread dim sum evenly in a steamer or basket lined with greaseproof paper, ensuring none are touching Place over boiling water, cover and steam Leave to stand for 1 min then serve immediately Do not reheat. STORAGE SUITABLE FOR FREEZING. For Use By, see front of pack. Keep refrigerated 0 C to +5 C. Freeze by date mark shown and use within 3 months. Once defrosted (in a refrigerator) eat within 24 hours. Defrost thoroughly before use. These dim sum are made with an authentic gelatinous rice pastry. Known as Har gow the pastry becomes translucent and sticky once cooked. nut allergy Tiger Prawns (Crustacean) (36%) Water Rice Flour Tapioca Flour Cornflour Courgette (2.5%) Water Chestnuts (2%) Chinese Chives Sugar Carrots Rehydrated Jelly Ear Mushrooms Salt Sesame Oil Ginger Garlic Yeast Extract (contains Barley) Shallots Onions Vegetable Oil (Sunflower/Rapeseed) Coriander Sweet Red Chillies Ground Green Peppercorns.","Crustaceans, Gluten","sesame, shellfish, tree nut, wheat"
89,Goldfish,https://world.openfoodfacts.org/product/0014100085478,"made with smiles and enriched wheat flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), cheddar cheese ([cultured milk, salt, enzymes], annatto), canola and/or sunflower oils, contains 2 percent or less of: salt, yeast, sugar, autolyzed yeast, baking soda, monocalcium phosphate, paprika, spices, celery, onion powder, contains: wheat, milk,","Celery, Gluten, Milk","milk, wheat"
90,5 rodzajów fasoli w sosie pomidorowym,https://world.openfoodfacts.org/product/5000157072023,"Mixed beans in variable proportions (52%, Haricot beans, Pinto beans, Cannellini beans, Borlotti beans, Red Kidney beans), Tomatoes (37%), Water, Sugar, Modified Cornflour, Spirit Vinegar, Salt, Spice Extracts, Herb Extract",,
91,Natural Creamy Peanut Butter,https://world.openfoodfacts.org/product/0051500017005,"PEANUTS, CONTAINS 1% OR LESS OF SALT.",Peanuts,peanut
92,Creme Egg,https://world.openfoodfacts.org/product/7622210344205,"sugar, milk , glucose syrup, cocoa butter, invert sugar syrup, whey powder ( milk ), cocoa mass, vegetable fats (palm, shea), emulsifier (e442), dried egg white, flavourings, colour (paprika extract),","Eggs, Milk","egg, milk"
93,perly,https://world.openfoodfacts.org/product/6111242100992,"milk cream, cream, sugar, banana, bacteria","Banana, Milk",milk
94,Marmite Yeast Extract,https://world.openfoodfacts.org/product/50184453,"yeast extract, barley, wheat, oats, rye, salt, vegetable juice concentrate, thiamin, riboflavin, niacin, vitamin B12, folic acid, natural flavouring, celery","Celery, Gluten",wheat
95,Tomato Ketchup,https://world.openfoodfacts.org/product/0013000006057,"TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING",,
96,Chunk Light Tuna in Water,https://world.openfoodfacts.org/product/08067308,"LIGHT TUNA, WATER VEGETABLE BROTH, SALT. CONTAINS: FISH (TUNA)",Fish,fish
97,Lightly Breaded Chicken Breast Chunks,https://world.openfoodfacts.org/product/0077013615514,"BONELESS SKINLESS CHICKEN BREAS WATER, SEASONING (SUGAR, SALT, SPICES INCLUDING PAPRIKA AND CELERY, CHICKEN FAT, SPICE EXTRACTIVE, CANOLA OIL, SOYBEAN OIL), RICE STARCH. BREADED WITH: WHEAT FLOUR, SUGAR, SALT NONFAT DRY MILK. DRIED EGG WHITES, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), SPICE, PAPRIKA. BREADING SET IN VEGETABLE OIL. CONTAINS: MILK, EGGS, WHEAT.","Celery, Eggs, Gluten, Milk, Soybeans","egg, milk, soy, wheat"
98,Coca-Cola Original Taste,https://world.openfoodfacts.org/product/04963406,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine",,
99,Original Crackers,https://world.openfoodfacts.org/product/0897580000106,"brown rice, quinoa, flax seeds, sesame seeds, tamari (water, soybeans, salt, vinegar), sea salt.","Sesame Seeds, Soybeans","sesame, soy"
100,Shrimp Seafood Burgers,https://world.openfoodfacts.org/product/00577335,"shrimp, pollock, sunflower oil, rice flour, salt, garlic powder, spices. Contains pollock, shrimp.","Crustaceans, Fish","fish, shellfish, wheat"
101,organic GREEK YOGURT plain,https://world.openfoodfacts.org/product/0096619483556,"organic pasteurized grade a nonfat milk, live and active cultures (streptococcus thermophilus, lactobacillus bulgaricus, lactobacillus acidophilus, bifidus, lactobacillus casei).",Milk,milk
102,CHOCOLATE NUTRITION SHAKE,https://world.openfoodfacts.org/product/0811620022118,"Filtered lowfat grade A milk, alkalized cocoa, natural flavors, cellulose gel, cellulose gum, salt, carrageenan, lactase enzyme, monk fruit juice concentrate, acesulfame potassium, sucralose, stevia leaf extract, lactase enzyme, vitamin A palmitate, vitamin D3","Gluten, Milk","milk, wheat"
103,EZEKIEL 4:9 Sesame,https://world.openfoodfacts.org/product/0073472001233,"Organic Sprouted Wheat, Filtered Water, Organic Sprouted Barley, Organic Sprouted Millet, Organic Malted Barley, Organic Sprouted Lentils, Organic Sprouted Soybeans, Organic Sprouted Spelt, Yeast, Organic Wheat Gluten, Sea Salt, Organic Sesame Seeds.","Gluten, Sesame Seeds, Soybeans","sesame, soy, wheat"
104,Honey Wheat Bread,https://world.openfoodfacts.org/product/0072250037068,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, WHOLE WHEAT FLOUR, HONEY, WHEAT GLUTEN, SUGAR, WHEAT BRAN, YEAST, CULTURED WHEAT FLOUR, SALT, SOY - BEAN OIL, SOY FLOUR, CALCIUM SULFATE, MONOGLYCERIDES, ENZYMES, MONOCALCIUM PHOSPHATE, SOY LECITHIN, ASCORBIC ACID, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN, FOLIC ACID, CALCIUM CARBONATE.","Gluten, Soybeans","soy, wheat"
105,Stem ginger oat biscuits,https://world.openfoodfacts.org/product/0061232201047,"Wholegrain Oats (64%), Brown Sugar, Sustainable Palm Fruit Oil, Stem Ginger (6.3%) (Stem Ginger, Sugar), Dietary Fibre (Oligofructose), Ground Ginger, Partially Inverted Refiners Syrup, Barley Malt Syrup, Raising Agent: Sodium Carbonates, Sea Salt. May contain traces of milk.",Gluten,"milk, wheat"
106,Breaded Panko Shrimp,https://world.openfoodfacts.org/product/0096619283545,"Shrimp, wheat flour, soybean oil, contains 2% or less of each of the following: citric acid, dextrose, dried garlic, leavening (sodium acid pyrophosphate, sodium bicarbonate), methylcellulose, modified corn starch, dried onion, paprika extract, rice starch, salt, soy flour, sugar, tapioca starch, dried whey, xanthan gum, dried yeast, yellow corn flour.","Crustaceans, Gluten, Milk, Soybeans, Ble, Lait","milk, shellfish, soy, wheat"
107,Peanut Butter Crunch,https://world.openfoodfacts.org/product/0123456789012,"Unbleached enriched wheat flour [flour, barley malt, niacin (vitamin b3), iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid (vitamin b9)], water, sugar, yeast, wheat gluten, soybean oil, contains 2% or less of the following: salt, dough conditioners (mono - and diglycerides, sodium stearoyl lactylate, ethoxylated mono - and diglycerides, ascorbic acid), calcium propionate and sorbic acid (to retain freshness), yeast nutrients (calcium carbonate, calcium sulfate, monocalcium phosphate, ammonium sulfate), hydrogenated cottonseed oil, ground turmeric, soy lecithin.","Gluten, Soybeans","soy, wheat"
108,Creamy Peanut Butter,https://world.openfoodfacts.org/product/0034000400126,"Peanuts, Sugar, hydrogenated Vegetable Oil [rapeseed Oil, Cottonseed Oil, Soybean Oil], Salt, Peanut Oil, Monoglycerides, Molasses, Cornstarch.","Peanuts, Soybeans","peanut, soy"
109,Extra Virgin Olive Oil,https://world.openfoodfacts.org/product/00358262,ORGANIC EXTRA VIRGIN OLIVE OIL.,Fish,fish
110,Peter's Yard Original Sourdough Crackers,https://world.openfoodfacts.org/product/5060198820052,"Milk , rye flour, wheat flour, sourdough 11.5% ( rye flour, water), wholewheat flour, honey, salt, yeast.","Gluten, Milk, Gluten","milk, wheat"
111,Cioccolato al latte,https://world.openfoodfacts.org/product/3017760363396,"wheat flour, sugar, cocoa butter, cocoa mass, skimmed milk powder, vegetable fats (palm, coconut), glucose syrup, milk fat, whey powder (from milk), salt, emulsifier (soya lecithin), raising agent (e503), yeast, flavouring may contain nuts,","Gluten, Milk, Soybeans","milk, soy, tree nut, wheat"
112,Apple Cider Vinegar,https://world.openfoodfacts.org/product/0074305001321,"Certified Organic, Raw Apple Cider Vinegar and Purified Water",,
113,Saveur Barbecue,https://world.openfoodfacts.org/product/3245550078674,"SOYA flour (30%), tapioca starch, dehydrated potato (13%), sunflower oil, potato starch (5%), rice flour, lactose (MILK), sugar, onions, salt, natural flavouring (MILK), yeast extract, tomatoes, colour: paprika extract, acid: malic acid.","Celery, Milk, Soybeans","milk, soy, wheat"
114,Pepsi Max,https://world.openfoodfacts.org/product/3502110009357,"carbonated water,colour (caramel e150d),sweeteners (aspartame , acesulfame k),acidifiers (phosphoric acid, citric acid),acidity regulator (sodium citrate),flavourings (including plant extracts and caffeine), contains a source of phenylalanine,",,
115,Original Sandwich Spread,https://world.openfoodfacts.org/product/5000157076021,"spirit vinegar, sugar, cabbage (contains preservative - sulphites), rapeseed oil, water, carrots, gherkins (contain firming agent - calcium chloride), modified cornflour, salt, onions, egg yolks, red peppers, mustard, stabilisers - guar gum and xanthan gum, spice extracts, spices, herb extract (contains celery), flavourings, colour - riboflavin. vegetables 35%.","Celery, Eggs, Mustard, Sulphur Dioxide And Sulphites",egg
116,Hummus,https://world.openfoodfacts.org/product/0096619916245,"ORGANIC CHICKPEAS, WATER, ORGANIC SESAME TAHINI, ORGANIC SUNFLOWER OIL, ORGANIC LEMON JUICE, ORGANIC GARLIC, SEA SALT, ORGANIC CUMIN. TOPPING: ORGANIC SUNFLOWER OIL, ORGANIC PINE NUTS, WATER, ORGANIC RED PEPPER, ORGANIC MINCED GARLIC, ORGANIC CUMIN, ORGANIC PARSLEY, SEA SALT, CITRIC ACID, ORGANIC ONION. CONTAINS: Pine Nuts, Sesame.",Sesame Seeds,"sesame, tree nut"
117,Houmous,https://world.openfoodfacts.org/product/5000169090336,"Cooked chickpeas (48%) (water , chickpeas), water , sunflower oil, tahini (14%) (sesame seed paste), concentrated lemon juice, sea salt , garlic.",Sesame Seeds,sesame
118,Sriracha Hot Chilli Sauce,https://world.openfoodfacts.org/product/5020580016999,"pickled red chilli 64% [chili, salt, acidity regulator (acetic acid)), sugar, water, garlic, salt, thickener (modified starch, xanthan gum), acidity regulator (acetic acid, citric acid), flavour enhancer (yeast extract), preservative (potassium sorbate), colour (paprika oleoresin).",,
119,Fridge Pot Tuna Steak,https://world.openfoodfacts.org/product/50171255,"Tuna (93%), Spring Water, Salt.",Fish,fish
120,Peanut Butter Spread,https://world.openfoodfacts.org/product/0051500255650,"PEANUTS, SUGAR, PALM OIL, SALT, MOLASSES","Gluten, Nuts, Peanuts","peanut, tree nut, wheat"
121,Freshly Baked Chocolat Croissant,https://world.openfoodfacts.org/product/20048402,"WHEAT FLOUR, BUTTER, WATER, CHOCOLATE (SUGAR, COCOA MASS, COCOA BUTTER, NATURAL VANILLA FLAVOR, SOY LECITHIN), SUGAR, YEAST, WHOLE MILK POWDER, SALT, WHEAT GLUTEN, RAPESEED OIL LECITHIN, EGG WASH (EGGS, WATER), ASCORBIC ACID, ENZYMES.","Eggs, Gluten, Milk, Soybeans","egg, milk, soy, wheat"
122,Swiss style muesli,https://world.openfoodfacts.org/product/01771879,"Oat Flakes (40%), Malted Toasted Wheat Flakes (38%) ( Wheat , Barley Malt Extract), Sultanas (15%), Whey Powder (Cows' Milk ), Hazelnuts (2%), Almonds (1%).","Gluten, Milk, Nuts","milk, tree nut, wheat"
123,Ancient Grains Probiotic Granola,https://world.openfoodfacts.org/product/0096619194261,"Whole grain rolled oats , cane sugar , soy oil , khorasan wheat, rolled spelt , almonds, inulin rice starch , rolled quinoa , rolled amaranth , sea salt, molasses , cinnamon , vanilla flavor , Probiotics (Bacillus coagulans GBI-30 6086), tocopherols (vitamin E). ORGANIC Contains soy, almonds and wheat Produced in a facility that uses peanuts and other tree nuts.","Gluten, Nuts, Soybeans","peanut, soy, tree nut, wheat"
124,Oats 'N Honey Granola Bars,https://world.openfoodfacts.org/product/0016000264694,"Whole Grain Oats, Sugar, Canola Oil, Rice Flour, Honey, Salt, Brown Sugar Syrup, Baking Soda, Soy Lecithin, Natural Flavor. CONTAINS SOY, MAY CONTAIN PEANUT, ALMOND AND PECAN INGREDIENTS Ceneral Mille 20706651","Gluten, Soybeans","peanut, soy, tree nut, wheat"
125,Caprice des Dieux,https://world.openfoodfacts.org/product/3161711000622,"pasteurized cow's milk of france, salt, lactic ferments (milk),","Milk, Milk",milk
126,Panda Brand Oyster Sauce,https://world.openfoodfacts.org/product/0078895300017,"Water, Sugar, Salt, Modified Corn Starch, Flavour Enhancer (E621), Oyster Extractives (3%), Wheat Flour , Colour (E150c).","Gluten, Molluscs","shellfish, wheat"
127,Hazelnut Spread with Cocoa,https://world.openfoodfacts.org/product/0009800895007,"sugar, palm oil, hazelnuts, cocoa, skim milk, whey (milk), lecithin as emulsifier (soy), vanillin: an artificial flavor,","Milk, Nuts, Soybeans","milk, soy, tree nut"
128,Organic Protein Protein Powder,https://world.openfoodfacts.org/product/0851770008631,"ORGAIN ORGANIC PROTEIN BLENDT : PEA PROTEIN , BROWN RICE PROTEIN , CHIA SEED , ORGAIN ORGANIC CREAMER BASE : ACACIA HIGH OLEIC SUNFLOWER OIL , RICE DEXTRIN , SUNFLOWER LECITHIN , ROSEMARY EXTRACT), ERYTHRITOL, ACACIA, ALKALIZED COCOA ONNAMON, NATURAL FLAVOR ORGAIN ORGANIC 50 SUPERFOODS BLEND [MILLET, AMARANTH , BUCKWHEAT, QUINOA CHIA, KALE POWDER APPLE PULP, CINNAMON , ORGANIC SPROUTS BLEND (AMARANTH SPROUT , QUINOA SPROUT , MILLET SPROUT , BUCKWHEAT SPROUT , GARBANZO BEAN SPROUT , LENTILS SPROUT , ADZUKI SPROUT , FLAX SPROUT , SUNFLOWER SPROUT , PUMPKIN SPROUT , CHIA SPROUT , SESAME SPROUT ORGANIC SUPER VEGGIES SUPER BERRIES, SUPER GRASSES AND SUPER FOODS BLEND (ACAI , CRANBERRY , WHEAT GRASS, BARLEY GRASS, OAT GRASS, BANANA MANGO, BEET CARROT, SPINACH, BROCCOLI, TOMATO, KALE, CABBAGE, PARSLEY LEAF, BRUSSELS SPROUT, GREEN BELL PEPPER, CUCUMBER, CELERY, GARLIC, GINGER ROOT, GREEN ONION, CAULIFLOWER , ASPARAGUS , PINEAPPLE, TURMERIC, STRAWBERRY, TART CHERRY, BLACKBERRY, BLUEBERRY, RASPBERRY, REBAUDIOSIDE A (STEVIA EXTRACT), SEA SALT, GUAR GUM , NATURAL FLAVOR, XANTHAN GUM, ORGANIC FOOD BASED VITAMIN C (FRUIT EXTRACT), ORGANIC FOOD BASED B VITAMIN BLEND (GUAVA, HOLY BASIL, LEMON EXTRACT), PROBIOTIC (BACILLUS COACULANS)","Celery, Gluten, Sesame Seeds","sesame, wheat"
129,"Raspberry fruit spread, raspberry",https://world.openfoodfacts.org/product/20000691,"raspberries, sugar, glucose-fructose syrup, pectin, citric acid,",,
130,APPLE CIDER VINEGAR,https://world.openfoodfacts.org/product/0074305001161,"ORGANIC APPLE CIDER VINEGAR, WATER.",,
131,Dark Chocolate Nuts & Sea Salt,https://world.openfoodfacts.org/product/0602652176517,"Almonds, peanuts, chicory root fiber, honey, palm kernel oil, sugar, glucose syrup, rice flour, unsweetened chocolate, alkalized cocoa, sea salt, soy lecithin, natural flavor, cocoa butter","Nuts, Peanuts, Soybeans","milk, peanut, soy, tree nut, wheat"
132,Multi-Grain Crackers 6-Seed,https://world.openfoodfacts.org/product/0879890000694,"brown rice flour, sesame seeds, potato starch, safflower oil, flax seeds, rice fiber, tamari soy sauce (soybeans, salt), quinoa seeds, amaranth seeds, millet, sea salt, chia seeds,","Sesame Seeds, Soybeans","sesame, soy, wheat"
133,Classic Yellow Mustard,https://world.openfoodfacts.org/product/0041500000312,"DISTILLED VINEGAR, WATER, MUSTARD SEED, SALT, TURMERIC, PAPRIKA, SPICE, NATURAL FLAVOR, GARLIC POWDER, : #1 GRADE.",Mustard,
134,The Ultimate Fish Stick,https://world.openfoodfacts.org/product/0028029196443,"65% fish (alaska pollock), 35% batter & breading (whole wheat flour, vegetable oil (soybean and/or canola), enriched wheat flour (wheat flour, niacin, iron, thiamine mononitrated, riboflavin, folic acid), water, contains 2% or less of: whole grain yellow corn meal, ranch seasoning (maltodextrin, salt, dehydrated onion, dehydrated garlic, disodium inosinate, disodium guanylate, natrual flavor (maltodextrin), modified food starch, buttermilk, natural flavor), corn starch, salt, vital wheat gluten, rice starch, yeast, leavening (cream of tartar, baking soda), tapioca starch, enriched and unrefined malted barley flour (malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid)).","Fish, Gluten, Milk, Soybeans","fish, milk, soy, wheat"
135,Original Beef Stick,https://world.openfoodfacts.org/product/0856584004183,"100% grass fed beef, water, sea salt, encapsulated lactic acid, cultured celery powder (celery powder, sea salt), black pepper, red pepper, granulated garlic, coriander, stuffed in beef collagen casings.",Celery,
136,Tesco Finest All Butter Croissant 4 Pack,https://world.openfoodfacts.org/product/5000436734345,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin) Butter, Water, Sugar, Pasteurised Egg, Dried Skimmed Milk, Yeast, Salt, Inactive Wheat Sourdough, Acetoc Acid, Flour Treatment Agent (Ascorbic Acid), Lactic Acid.","Eggs, Gluten, Milk","egg, milk, wheat"
137,The Original Cracker,https://world.openfoodfacts.org/product/5000137487908,"Wheat flour, sunflower oil 22 %, sugar, glucose-fructose syrup, raising agents (calcium phosphates, ammonium carbonates, sodium carbonates, potassium carbonates), salt, barley malt flour. May contain egg, milk, sesame.",Gluten,"egg, milk, sesame, wheat"
138,Sea Salt & Balsamic Vinegar Crisps,https://world.openfoodfacts.org/product/5017764128128,"select potatoes, vegetable oils (rapeseed oil, sunflower oil), seasoning with sea salt and balsamic vinegar of modena (sea salt, balsamic vinegar of modena potato maltodextrin, sugar, potato starch, acid: citric acid, natural flavourings).",,
139,sauce pimentée à l’ail,https://world.openfoodfacts.org/product/0078895300031,"Water, Sugar, Salt, Oyster Extract 11%, Flavour Enhancer E621, Modified Corn Starch, Wheat Flour, Colour E150c.","Gluten, Molluscs","shellfish, wheat"
140,CHOLULA HOT SAUCE,https://world.openfoodfacts.org/product/0049733830119,"WATER, SUGAR, DRIED CHILI PEPPERS (4.0%) (CHIPOTLE, GUAJILLO, ARBOL & PIQUN), SALT, VINEGAR BLEND (SPIRIT VINEGAR, CIDER VINEGAR), SMOKE FLAVOURINGS, SPICES, STABILISER (XANTHAN GUM), ACID (CITRIC ACID), COLOUR (E150d)",,
141,Organic Baked Beans,https://world.openfoodfacts.org/product/5052910706706,"Organic Haricot Beans (53%), Organic Tomato Purée (21%), Water , Organic Sugar, Organic Maize Starch, Salt , Organic Onion Powder, Organic Rice Flour, Acidity Regulator (Citric Acid), Organic Paprika, Organic Chilli Powder, Organic Garlic Powder.",,wheat
142,Juicy Oranges Whole Fruit Squash,https://world.openfoodfacts.org/product/5023762000137,"Water, Cane Sugar, Whole Oranges (11%), Citric Acid, Orange Oil.",,
143,Milk Chocolate Large Bar,https://world.openfoodfacts.org/product/7622210496645,"sugar, whole milk powder, cocoa butter, cocoa mass, honey (3,0%), milk fat, almonds (1,6%), emulsifier (soya lecithin), egg white, flavouring, milk chocolate: cocoa solids 28% minimum, milk solids 14% minimum,","Eggs, Milk, Nuts, Soybeans","egg, milk, soy, tree nut"
144,Rosii Cirio Diced Tomatoes,https://world.openfoodfacts.org/product/8000320010118,"chopped tomatoes, tomato paste, salt, acidity regulator: citric acid,",,
145,Organic Creamy Peanut Butter,https://world.openfoodfacts.org/product/0096619555505,"Dry roasted organic peanuts, sea salt",Peanuts,peanut
146,Velouté de légumes,https://world.openfoodfacts.org/product/3036811460259,"water, carrot 26%, leek 10%, onion 5.7%, potato 5.7%, tomato puree 2.1%, pumpkin, celeriac, cooking butter, fresh cream, salt, natural pepper extract,","Celery, Gluten, Milk","milk, wheat"
147,Bagels Everything,https://world.openfoodfacts.org/product/0048121253196,"ENRICHED WHEAT FLOUR (FLOUR, MALTED LEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONTRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID, WATER, SUGAR, SUNFLOWER SEEDS, YEAST, WHEAT GLUTEN, SESAME SEEDS, ONION, SALT, CORNMEAL, CALCIUM PROPIONATE, SORBIC ACID, POPPY SEEDS, MONO AND DIGLYCERIDES, GARLIC, CITRIC ACID, GUAR GUM, MALTODEXTRIN, soybean OIL, CELLULOSE GUM, CORNSTARCH, ALGIN, SOY LECITHIN.","Gluten, Sesame Seeds, Soybeans","sesame, soy, wheat"
148,PEANUT BUTTER CREAMY,https://world.openfoodfacts.org/product/0037600110754,"roasted peanuts, sugar, hydrogenated vegetable oil (cottonseed, soybean and rapeseed oil) to prevent separation, salt.","Peanuts, Soybeans","peanut, soy"
149,Fruit & Seed Oatcakes,https://world.openfoodfacts.org/product/0612322000202,"Wholegrain Oats (68%), Currants (12%) (Currants, Sunflower Oil), Brown Sugar, Sustainable Palm Fruit Oil, Brown Flaxseeds (6%), Raising Agent: Sodium Bicarbonate, Sea Salt.",Gluten,wheat
150,Organic Quinoa & Brown Rice with Garlic,https://world.openfoodfacts.org/product/0748404287947,"WATER, WHOLE GRAIN BROWN RICE, BLEND OF WHOLE GRAIN QUINOA (WHOLE GRAIN RED QUINOA, WHOLE GRAIN BLACK QUINOA), SUNFLOWER OIL, SEA SALT, GARLIC POWDER, DEHYDRATED GARLIC, ONION POWDER, MINCED GARLIC, PARSLEY, BLACK PEPPER",,
151,Smoked Trout Fillets,https://world.openfoodfacts.org/product/00444057,"trout fillets, canola oil, salt, hardwood smoke may contain traces of milk, egg, soy, wheat, herring, tuna, lobster.","Crustaceans, Fish","egg, fish, milk, shellfish, soy, wheat"
152,Marinated King Prawns,https://world.openfoodfacts.org/product/00699891,King Prawns (Crustacean) (58%). Sweet Chilli Dipping Sauce (36%) (Sugar Water Rice Wine Vinegar Red Chillies Garlic Purée Cornflour Ground Paprika Salt). Salt. Coriander Ginger Purée Red Chillies Rapeseed Oil Sugar. Red Bell Peppers Ground Paprika Cornflour Cracked Black Pepper Garlic Purée. .,Crustaceans,shellfish
153,Granola L'Original,https://world.openfoodfacts.org/product/7622210601988,"wheat flour 48%, milk chocolate 27% sugar, cocoa mass, cocoa butter, whey powder (from milk), skimmed milk powder, vegetable fats (palm, shea in varying proportions), concentrated butter, emulsifiers (soy lecithins, e476), lactose (milk), aromamel, vegetable oils (palm, copra), sugar, sugar syrup, wheat bran, baking powder (sodium carbonates, ammonium carbonates), salt, wheat germ, acidity regulator (citric acid), may contain eggs, nuts, sesame,","Gluten, Milk, Soybeans","egg, milk, sesame, soy, tree nut, wheat"
154,BEANZ In a rich tomato sauce NO ADDED SUGAR,https://world.openfoodfacts.org/product/5000157078773,"Beans (50%), Tomatoes (37%), Water, Modified Cornflour, Spirit Vinegar, Salt, Natural Flavouring, Spice Extracts, Sweetener - Steviol Glycosides, Herb Extract. Contains naturally occuring sugars.",,
155,Peanut Butter,https://world.openfoodfacts.org/product/0037600106252,"ROASTED PEANUTS, SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.","Peanuts, Soybeans","peanut, soy"
