id,name,link,ingredients,allergensraw,allergensmapped
23,Coca Cola Original taste,https://world.openfoodfacts.org/product/5449000000439,"carbonated water, sugar, colour (caramel e150), acid (phosphoric acid), natural flavourings (including caffeine)",,
24,Ambrosia Rice pudding,https://world.openfoodfacts.org/product/5000354800931,"full cream milk , skimmed milk , whey , rice 9%, sugar",Milk,milk
25,Chickpeas In Water,https://world.openfoodfacts.org/product/5051399182506,"chickpeas, water, antioxidant (ascorbic acid).",,
26,Onken,https://world.openfoodfacts.org/product/7610900299072,"Yogurt (MILK), Vitamin D. Contains live cultures: Lactobacillus Bulgaricus, Streptococcus Thermophilus, and Bifidobacterium.",Milk,milk
27,Mi Goreng,https://world.openfoodfacts.org/product/8850987131707,"noodles: soft wheat flour 64,11%, palm oil, anti-oxidant e320, e321), modified tapioca starch, salt, sugar, thickener (e466), acidity regulator (e500, e501) seasonings: sugar, spices, salt, soy sauce powder, flavour enhancers (e621, e635), oyster aroma (flavour, fish, shrimp), colouring (e150a), anti-aggregator (e551), shallot aroma, seasoning oil: sweet soy sauce (corn glucose syrup, soy sauce, molasses, caramel color, vinegar), shallot oil, garlic oil, garlic flavour, topping: dried vegetables pepper bag: chilli powder","Crustaceans, Fish, Gluten, Soybeans","fish, shellfish, soy, wheat"
28,Light Rye Crispbread,https://world.openfoodfacts.org/product/0033617322616,"WHOLE GRAIN RYE FLOUR, SALT.","Gluten, Milk, Sesame Seeds","milk, sesame, wheat"
29,CREAMY PEANUT BUTTER,https://world.openfoodfacts.org/product/0037600223324,"ROASTED PEANUTS SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.","Peanuts, Soybeans","peanut, soy"
30,Sardine Fillets in 100% Olive Oil,https://world.openfoodfacts.org/product/0070303022160,"Sardines (Fish), Olive Oil, Salt",Fish,fish
31,Flourless Sprouted Grain Bread,https://world.openfoodfacts.org/product/0073472001202,"organic sprouted wheat, filtered water, organic sprouted barley, organic sprouted millet, organic malted barley, organic sprouted lentils, organic sprouted soybeans, organic sprouted spelt, fresh yeast,organic wheat gluten, sea salt,","Gluten, Soybeans","soy, wheat"
32,Chocolate Sea Salt RXBAR,https://world.openfoodfacts.org/product/0857777004232,"Dates, Egg Whites, Cashews, Almonds, Chocolate, Cocoa, Natural Flavors, Sea Salt","Eggs, Nuts","egg, tree nut"
33,Bolachas Recheadas Framboesa,https://world.openfoodfacts.org/product/20005559,"sugar, glucose fructose syrup, wheat flour, chocolate liquor, eggs, palm oil, cocoa butter, concentrated raspberry juice, sorbitol, pectin, citric acid, leavening (sodium acid pyrophosphate, baking soda), emulsifier blend (soy lecithin, sunflower lecithin, mono - and diglycerides of fatty acids), whey protein concentrate, natural raspberry flavor, natural flavors, salt, wheat starch,","Eggs, Gluten, Milk, Soybeans","egg, milk, soy, wheat"
34,Low Sugar Maple & Pecan Granola imp,https://world.openfoodfacts.org/product/5060043224585,"Wholegrain Oat Flakes (67%), Rapeseed Oil, Nuts (8%) [Pecan Nut Pieces, Walnut Pieces, Almond Pieces], Seeds (6%) [Sunflower, Pumpkin], Desiccated Coconut, Maple Syrup (2%), Chicory Fibre, Natural Flavouring, Sea Salt, Fructose.",Nuts,tree nut
35,Organic Roasted Seaweed Snack,https://world.openfoodfacts.org/product/0096619332748,"Organic Seaweed, Organic Sunflower Oil, Organic Sesame Oil, Sea Salt, Organic Rosemary Extract",Sesame Seeds,sesame
36,Moutarde de Dijon,https://world.openfoodfacts.org/product/3270190136880,"water, organic mustard seeds 30%, organic alcohol vinegar, salt,",Mustard,
37,Protein Bars,https://world.openfoodfacts.org/product/0193908007292,"Dates, Egg Whites, Cashews, Almonds,, Chocolate, Cocoa, Natural Flavors, Sea Salt, Dates, Egg Whites, Almonds, Cashews,, Blueberries, Natural Flavors.","Eggs, Nuts","egg, tree nut"
38,Toblerone Dark Chocolate with Honey & Almond Nougat,https://world.openfoodfacts.org/product/7614500010617,"cocoa mass, sugar, milk fat, honey (3,0 %), almonds (1,6%), cocoa butter, emulsifier (soya lecithin), egg white, chocolate contains: cocoa solids: 50% minimum,","Eggs, Milk, Nuts, Soybeans","egg, milk, soy, tree nut"
39,Olive oil,https://world.openfoodfacts.org/product/5000442007594,"Extra Virgin Olive Oil (51%) Water, Alcohol, Emulsifier: Sunflower Lecithin Flavouring, Thickener: Xanthan Gum",,
40,Sardines in Water,https://world.openfoodfacts.org/product/0048000007070,"SARDINES (SPRATTUS SPRATTUS, CLUPEA HARENGUS), WATER, SALT.","Eggs, Fish","egg, fish"
41,Marinara,https://world.openfoodfacts.org/product/0747479000413,"Italian Whole Peeled Tomatoes, Olive Oil, Onions, Salt, Garlic, Basil, Black Pepper, Oregano.",,
42,6 Soft White Rolls Sliced,https://world.openfoodfacts.org/product/5010044002316,"wheat flour [with calcium, iron, niacin (b3) and thiamin (b1)], water, vegetable oil (rapeseed, sustainable palm), yeast, salt, sugar, emulsifiers: e472e, e471, e481, soya flour, gelling agent: e466, preservative: calcium propionate, flour treatment agents: ascorbic acid (vitamin c), e920 (vegetarian)","Gluten, Soybeans","soy, wheat"
43,Salted Mixed Nuts,https://world.openfoodfacts.org/product/0096619885725,"cashews, almonds, pecans, brazil nuts, macadamia nuts, peanut oil , sea salt.","Nuts, Peanuts","peanut, tree nut"
44,Lancashire oven bottom muffins,https://world.openfoodfacts.org/product/5023528000036,"wheat flour (with calcium carbonate, iron, thiamin (b1), niacin (b3)), water, yeast, sugar, salt, vinegar, rapeseed oil, soya flour, palm oil, emulsifier (sodium stearoyl-2-lactylate), preservative (calcium propionate), flour treatment agent: ascorbic acid (vitamin c)","Gluten, Soybeans","soy, wheat"
45,Classic Mayo,https://world.openfoodfacts.org/product/0815074022809,"AVOCADO OIL, FILTERED WATER, EGG YOLKS, WHOLE EGGS, DISTILLED VINEGAR, MUSTARD (WATER, MUSTARD SEEDS, DISTILLED VINEGAR, SALT), SALT, ROSEMARY EXTRACT","Eggs, Mustard",egg
46,Nutella,https://world.openfoodfacts.org/product/3017620422003,"sugar, palm oil, hazelnuts 13%, low-fat cocoa 7.4%, skimmed milk powder 6.6%, whey powder, emulsifiers: lecithins [soya], vanillin, gluten-free,","Milk, Nuts, Soybeans","milk, soy, tree nut, wheat"
47,Ginger Crystallized In Dark Chocolate,https://world.openfoodfacts.org/product/0716270001660,"dark chocolate (cocoa liquor , sugar, cocoa butter , soy lecithin, vanilla), crystallized ginger (ginger, sugar)",Soybeans,"milk, soy"
48,Tremoços,https://world.openfoodfacts.org/product/5601378850300,"Lupin beans, water, salt and acidity regulator: citric acid.",Lupin,
49,Power Cakes Flapjack & Waffle Mix Buttermilk,https://world.openfoodfacts.org/product/0705599011610,"Whole grain wheat flour, Whole grain oat flour, wheat protein isolate, whey protein concentrate, brown sugar, milk protein concentrate, buttermilk powder, leavening (monocalcium phosphate, baking soda), sea salt. Contains milk and wheat. Due to processing on shared equipment, may also contain trace amounts of egg, soy, and tree nuts.","Gluten, Milk, Nuts","egg, milk, soy, tree nut, wheat"
50,belvoir farm elderflower cordial,https://world.openfoodfacts.org/product/5022019010202,"Sugar, water, elderflowers, pressed lemon juice, citric acid",,
51,Prince Goût Chocolat,https://world.openfoodfacts.org/product/7622210449283,"WHEAT flour 35%, whole WHEAT flour 15.7%, sugar, vegetable oils (palm, rapeseed), low-fat cocoa powder 4.5%, glucose syrup, WHEAT starch, raising agents (ammonium bicarbonate, sodium bicarbonate, disodium diphosphate), emulsifiers (SOY lecithin, sunflower lecithin), salt, skimmed MILK powder, lactose and MILK proteins, flavors, MAY CONTAIN EGG.","Eggs, Gluten, Milk, Soybeans","egg, milk, soy, wheat"
